,T0/S_H__T,T0/T,log_Fuel(%),log_Oxidizer(%),log_P(atm)
974,0.0472,0.7228,-2.9791,-0.0539,1.4374
975,0.0471,0.7217,-2.9923,-0.0688,1.4314
976,0.0459,0.7211,-3.004,-0.0749,1.3982
977,0.0442,0.7196,-3.0181,-0.0868,1.3744
978,0.0475,0.7247,-2.9965,-0.0617,1.42
979,0.047,0.7231,-3.0072,-0.0721,1.3982
980,0.0472,0.7229,-3.0041,-0.0748,1.4017
981,0.0469,0.7195,-3.0181,-0.1105,1.3384
982,0.0474,0.7238,-3.0024,-0.0779,1.3766
983,0.0474,0.722,-3.0121,-0.0822,1.41
984,0.0457,0.7184,-2.9911,-0.0687,1.412
985,0.0471,0.7216,-3.0226,-0.1022,1.3701
986,0.0472,0.7218,-2.9885,-0.0463,1.4106
987,0.0463,0.7246,-2.9885,-0.0343,1.4245
988,0.0473,0.7174,-2.9912,-0.0764,1.4088
989,0.0479,0.7214,-3.001,-0.0837,1.3818
990,0.0468,0.718,-3.0178,-0.1039,1.3581
991,0.0462,0.7211,-2.9887,-0.0467,1.4081
992,0.0467,0.7214,-3.0231,-0.0949,1.3823
993,0.0478,0.717,-3.0195,-0.1168,1.3581
994,0.0469,0.7216,-3.0036,-0.079,1.3815
995,0.0476,0.7204,-2.9959,-0.0764,1.3941
996,0.0472,0.72,-2.9952,-0.0877,1.4035
997,0.0476,0.7225,-3.0073,-0.0826,1.3991
998,0.0477,0.7178,-3.0305,-0.1319,1.3469
999,0.0471,0.7239,-2.9965,-0.0556,1.4196
1000,0.0475,0.7215,-3.0196,-0.1071,1.3666
1001,0.047,0.7215,-2.9876,-0.0466,1.4001
1002,0.0476,0.7227,-3.0073,-0.082,1.3989
1003,0.0479,0.7204,-2.9994,-0.0845,1.3965
1004,0.0472,0.7151,-2.9912,-0.099,1.4
1005,0.0472,0.7218,-2.9965,-0.0666,1.3983
1006,0.0474,0.7216,-3.0008,-0.0714,1.409
1007,0.0456,0.7211,-2.9959,-0.0435,1.4167
1008,0.0474,0.7208,-3.0077,-0.0869,1.3713
1009,0.0471,0.7193,-3.0144,-0.0982,1.3721
1010,0.0475,0.7205,-3.0147,-0.1029,1.3686
1011,0.0477,0.7206,-3.0004,-0.0789,1.4053
1012,0.0474,0.7218,-2.9886,-0.0667,1.4072
1013,0.0466,0.722,-3.0038,-0.0677,1.4047
1014,0.0473,0.721,-3.0041,-0.0791,1.3842
1015,0.0471,0.72,-3.0111,-0.0944,1.3719
1016,0.0467,0.7194,-3.0178,-0.0989,1.3599
1017,0.047,0.7238,-2.9886,-0.0456,1.4152
1018,0.0468,0.7186,-2.9679,-0.0554,1.4378
1019,0.0471,0.7205,-3.0144,-0.0986,1.3708
1020,0.047,0.723,-3.0073,-0.0745,1.3995
1021,0.0468,0.7245,-2.993,-0.0471,1.4335
1022,0.0475,0.7196,-2.9969,-0.0994,1.386
1023,0.0469,0.7178,-3.037,-0.1307,1.3391
1024,0.0479,0.7146,-3.0244,-0.1233,1.3397
1025,0.0473,0.721,-2.9923,-0.0624,1.4167
1026,0.0472,0.7193,-3.0147,-0.0953,1.38
1027,0.0467,0.7226,-2.9887,-0.0521,1.4103
1028,0.0464,0.7152,-2.9903,-0.1004,1.3667
1029,0.0459,0.717,-2.9803,-0.0734,1.3917
1030,0.0481,0.7132,-2.9875,-0.1056,1.3767
1031,0.0478,0.7229,-2.9855,-0.0559,1.4282
1032,0.0475,0.7217,-2.993,-0.0528,1.4167
1033,0.047,0.7212,-3.015,-0.0879,1.3945
1034,0.0475,0.7205,-3.0257,-0.1169,1.359
1035,0.0479,0.7153,-2.984,-0.0953,1.4027
1036,0.0471,0.7217,-3.0045,-0.0746,1.4016
1037,0.0474,0.7226,-2.9965,-0.0633,1.4096
1038,0.0468,0.7205,-2.993,-0.0647,1.4273
1039,0.0465,0.7287,-2.9641,-0.0073,1.432
1040,0.0472,0.7219,-3.0041,-0.0748,1.4006
1041,0.0465,0.7203,-2.9959,-0.0583,1.4028
1042,0.0456,0.7184,-2.9721,-0.0533,1.4213
1043,0.0472,0.7228,-3.0038,-0.0765,1.3979
1044,0.0466,0.7197,-2.9725,-0.0449,1.4208
1045,0.047,0.7246,-2.9886,-0.0486,1.4192
1046,0.0471,0.7249,-2.9886,-0.0484,1.4207
1047,0.0449,0.7219,-3.0147,-0.0754,1.3822
1048,0.047,0.7214,-3.004,-0.0779,1.392
1049,0.0474,0.7237,-2.9959,-0.0617,1.4091
1050,0.0464,0.7169,-3.0266,-0.1132,1.3507
1051,0.0465,0.7214,-2.9993,-0.0729,1.3974
1052,0.0469,0.7249,-2.9816,-0.0684,1.3866
1053,0.0473,0.7199,-3.0147,-0.0959,1.3792
1054,0.0469,0.7172,-3.037,-0.1316,1.3353
1055,0.0478,0.7242,-3.0045,-0.0648,1.4296
1056,0.0476,0.7224,-3.0116,-0.0924,1.391
1057,0.0471,0.7222,-3.0116,-0.0835,1.3956
1058,0.0472,0.7237,-2.9885,-0.0593,1.3987
1059,0.0468,0.7191,-3.0037,-0.0797,1.3871
1060,0.0475,0.7196,-2.9873,-0.0782,1.392
1061,0.0467,0.7246,-2.9914,-0.0539,1.3895
