,Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
256,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.258,0.65,CCCCCCCCCCCC,0.742,430.0,Speceis,21.0,4.68,±9.3,Stanford,15.3,,CH,1003,±1,4081
257,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.724,1.12,CCCCCCCCCCCC,1.276,430.0,Speceis,21.0,4.97,±9.3,Stanford,15.3,,CH,1147,±1,357
258,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.5121,0.43,CCCCCCCCCCCC,0.4879,430.0,Speceis,21.0,8.63,±9.3,Stanford,15.3,,CH,1220,±1,292
259,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.2922,0.62,CCCCCCCCCCCC,0.7078,430.0,Speceis,21.0,5.33,±9.3,Stanford,15.3,,CH,1172,±1,663
260,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.821,1.04,CCCCCCCCCCCC,1.179,430.0,Speceis,21.0,6.57,±9.3,Stanford,15.3,,CH,1011,±1,1100
261,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.834,1.03,CCCCCCCCCCCC,1.166,430.0,Speceis,21.0,7.0,±9.3,Stanford,15.3,,CH,940,±1,2599
262,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.831,1.03,CCCCCCCCCCCC,1.169,430.0,Speceis,21.0,6.57,±9.3,Stanford,15.3,,CH,958,±1,2041
263,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.0015,0.88,CCCCCCCCCCCC,0.9985,430.0,Speceis,21.0,6.25,±9.3,Stanford,15.3,,CH,921,±1,5556
264,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.4537,0.48,CCCCCCCCCCCC,0.5463,430.0,Speceis,21.0,5.69,±9.3,Stanford,15.3,,CH,1037,±1,2607
265,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.4266,0.51,CCCCCCCCCCCC,0.5734,430.0,Speceis,21.0,5.76,±9.3,Stanford,15.3,,CH,1049,±1,2581
266,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1126,,1069
267,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1145,,605
268,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1173,,475
269,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1175,,675
270,n_Dodecane_Nano,N2,78.79,0.18,CCCCCCCCCCCC,0.21,430.0,Speceis,21.0,7.1,,Stanford,15.3,,CH,1187,,793
271,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1141,,680
272,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1187,,395
273,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1224,,253
274,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1108,,1339
275,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1196,,229
289,n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306.0,Species,20.89,22.7,,Stanford,5.0,±5,OH,910,±1,2134
290,n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306.0,Species,20.89,18.1,,Stanford,5.0,±5,OH,943,±1,2276
291,n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306.0,Species,20.89,20.3,,Stanford,5.0,±5,OH,996,±1,1245
292,n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306.0,Species,20.89,21.0,,Stanford,5.0,±5,OH,1039,±1,826
293,n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306.0,Species,20.89,18.9,,Stanford,5.0,±5,OH,1049,±1,839
294,n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306.0,Species,20.89,20.1,,Stanford,5.0,±5,OH,1054,±1,788
295,n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306.0,Species,20.89,18.4,,Stanford,5.0,±5,OH,1082,±1,566
296,n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306.0,Species,20.89,19.6,,Stanford,5.0,±5,OH,1087,±1,527
297,n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306.0,Species,20.89,30.9,,Stanford,5.0,±5,OH,1117,±1,266
298,n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306.0,Species,20.89,20.3,,Stanford,5.0,±5,OH,1118,±1,346
299,n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306.0,Species,20.89,21.0,,Stanford,5.0,±5,OH,1149,±1,261
300,n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306.0,Species,20.89,21.2,,Stanford,5.0,±5,OH,1163,±1,213
301,n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306.0,Species,20.89,20.8,,Stanford,5.0,±5,OH,1177,±1,165
302,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,23.4,,Stanford,5.0,±5,OH,907,±1,1081
303,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,21.0,,Stanford,5.0,±5,OH,942,±1,1116
304,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,20.0,,Stanford,5.0,±5,OH,953,±1,1141
305,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,19.8,,Stanford,5.0,±5,OH,957,±1,1064
306,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,20.5,,Stanford,5.0,±5,OH,976,±1,800
307,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,22.9,,Stanford,5.0,±5,OH,978,±1,912
308,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,22.0,,Stanford,5.0,±5,OH,987,±1,699
309,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,21.8,,Stanford,5.0,±5,OH,991,±1,645
310,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,20.4,,Stanford,5.0,±5,OH,992,±1,739
311,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,22.4,,Stanford,5.0,±5,OH,1008,±1,570
312,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,22.3,,Stanford,5.0,±5,OH,1015,±1,508
313,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,22.1,,Stanford,5.0,±5,OH,1036,±1,432
314,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,19.4,,Stanford,5.0,±5,OH,1087,±1,403
315,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,20.8,,Stanford,5.0,±5,OH,1102,±1,268
316,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,23.3,,Stanford,5.0,±5,OH,1107,±1,298
317,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,23.0,,Stanford,5.0,±5,OH,1109,±1,278
318,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,33.7,,Stanford,5.0,±5,OH,1118,±1,183
319,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,24.0,,Stanford,5.0,±5,OH,1123,±1,262
320,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,18.7,,Stanford,5.0,±5,OH,1125,±1,188
321,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,20.6,,Stanford,5.0,±5,OH,1135,±1,178
338,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1173,,475
339,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.7926,0.18,CCCCCCCCCCCC,0.2074,430.0,Speceis,21.0,4.0,±9.3,Stanford,15.3,,CH,1078,±1,5605
340,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.3902,0.54,CCCCCCCCCCCC,0.6098,430.0,Speceis,21.0,6.71,±9.3,Stanford,15.3,,CH,1045,±1,2753
342,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,76.862,1.88,CCCCCCCCCCCC,2.138,430.0,Speceis,21.0,5.04,±9.3,Stanford,15.3,,CH,979,±1,306
343,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.01,1.75,CCCCCCCCCCCC,1.99,430.0,Speceis,21.0,6.46,±9.3,Stanford,15.3,,CH,988,±1,260
