,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
3827,58.3025,-0.9508,-0.5058,-18.8136,2.7635,7.841,0.7297
3828,54.4014,-0.954,-0.4775,-17.5466,2.1131,7.9493,0.7268
3829,46.7457,-0.9572,-0.4413,-15.0439,1.1809,8.0858,0.749
3830,60.2721,-0.9448,-0.5096,-19.4788,1.8696,7.929,0.7207
3831,76.5131,-0.9813,-0.5102,-24.7569,1.3036,7.8471,0.7188
3832,61.6266,-0.9447,-0.5354,-19.9591,3.167,7.9552,0.7233
3833,64.8662,-0.9637,-0.4825,-20.9526,0.9268,7.9184,0.7221
3834,60.9119,-0.9742,-0.4862,-19.6795,2.1402,7.9649,0.7334
3835,57.8291,-0.977,-0.4812,-18.673,2.2986,7.9931,0.7338
3836,61.7453,-0.9649,-0.4909,-19.9628,1.9136,7.9911,0.7323
3837,74.6656,-0.9896,-0.5114,-24.2299,1.062,8.1486,0.747
3838,55.707,-0.9644,-0.4916,-17.9631,2.3068,7.915,0.7272
3839,65.2438,-0.9794,-0.4892,-21.0987,1.5958,7.9836,0.7288
3840,52.4971,-0.9528,-0.5045,-16.9177,2.949,7.8817,0.7278
3841,67.8292,-0.9825,-0.5255,-21.9609,1.6046,8.0336,0.7265
3842,50.231,-0.9105,-0.5236,-16.2314,2.3026,8.0054,0.7291
3843,70.5751,-0.972,-0.5197,-22.8493,1.5082,7.9608,0.7207
3844,55.9198,-0.9421,-0.4727,-18.0298,1.82,7.9019,0.7332
3845,49.5323,-0.9282,-0.4933,-15.92,1.7172,7.8292,0.735
3846,55.5565,-0.9586,-0.4823,-17.9121,1.869,7.9238,0.733
3847,66.9603,-0.9783,-0.4947,-21.6833,1.7052,8.0523,0.7273
3848,72.839,-0.9584,-0.4895,-23.6395,0.2712,8.1545,0.7368
3849,52.6221,-0.9399,-0.4911,-16.864,1.0833,7.6965,0.7402
3850,58.9014,-0.9629,-0.4714,-18.9895,1.5843,7.8933,0.7282
3851,50.1324,-0.9359,-0.4953,-16.1792,1.688,8.0565,0.7402
3852,65.6896,-0.9578,-0.492,-21.1924,2.2146,7.7149,0.7148
3853,41.6798,-0.9447,-0.4357,-13.3595,1.9302,7.9464,0.729
3854,71.9567,-0.954,-0.506,-23.3124,0.9873,7.9625,0.731
3855,70.1124,-0.9742,-0.4711,-22.6756,1.3612,7.9061,0.7256
3856,59.5384,-0.9708,-0.4789,-19.175,1.8987,7.8164,0.7254
3857,44.1878,-0.9389,-0.4959,-14.2298,2.3818,8.0419,0.7375
3858,63.904,-0.9729,-0.4909,-20.6818,1.6682,8.0512,0.7327
3859,39.4806,-0.9063,-0.4686,-12.6194,3.394,7.7013,0.7253
3860,52.7982,-0.9612,-0.4722,-16.9773,2.489,7.8125,0.7272
3861,59.989,-0.9917,-0.4681,-19.3591,1.8404,7.9949,0.7378
3862,53.716,-1.0009,-0.5011,-17.3659,4.8974,8.0606,0.7394
3863,95.4535,-1.0035,-0.5565,-31.1028,-0.8631,8.3869,0.7397
3864,57.2583,-0.9444,-0.5054,-18.4429,2.3245,7.7677,0.7298
3865,56.8923,-0.9555,-0.4863,-18.3558,1.0644,7.9768,0.7295
3866,49.5124,-0.9556,-0.4877,-15.8806,2.8296,7.7188,0.7283
3867,76.9771,-1.0283,-0.4865,-24.9273,1.1087,8.0358,0.7488
3868,57.4954,-0.9704,-0.489,-18.5162,2.266,7.821,0.739
3869,50.679,-0.9512,-0.4775,-16.2806,2.5358,7.7897,0.7222
3870,65.0778,-0.9512,-0.4753,-20.9435,1.1754,7.6471,0.7184
3871,51.0068,-0.9397,-0.4777,-16.3876,1.8565,7.8006,0.7331
3872,67.9375,-0.9716,-0.5627,-21.9863,2.3833,7.9249,0.7411
3873,52.5715,-0.9313,-0.5084,-16.9169,2.2481,7.7951,0.7366
3874,45.7989,-0.9278,-0.4723,-14.7272,1.6938,7.9411,0.7331
3875,44.4793,-0.939,-0.4327,-14.2863,1.1593,7.9921,0.7483
3876,62.4125,-0.9702,-0.4945,-20.1614,1.7483,7.9394,0.7242
3877,49.4305,-0.9412,-0.4616,-15.9423,1.5892,8.0467,0.7375
3878,62.1546,-0.9671,-0.5315,-20.0954,2.328,7.9543,0.7267
3879,46.8494,-0.9337,-0.4802,-15.008,3.0079,7.6814,0.7235
3880,67.2751,-0.9941,-0.5064,-21.7399,2.1818,7.9055,0.741
3881,65.0053,-0.9575,-0.5271,-21.043,1.7668,7.9908,0.7386
3882,59.5117,-0.9541,-0.4737,-19.2141,1.9981,7.9025,0.7294
3883,42.6163,-0.9207,-0.4743,-13.6731,1.7659,7.9069,0.7372
3884,51.3983,-0.9384,-0.4862,-16.5735,2.7727,7.9212,0.7304
3885,21.6213,-0.9148,-0.4308,-6.7513,2.9427,7.7889,0.7474
3886,50.7787,-0.8994,-0.5098,-16.4114,2.1139,7.9701,0.7398
3887,55.7394,-0.9566,-0.495,-17.968,2.0767,7.8882,0.7232
3888,43.8299,-0.9391,-0.4923,-14.0755,3.9585,7.8197,0.7256
3889,56.5914,-0.959,-0.4909,-18.2642,1.966,7.9595,0.7294
3890,66.3453,-0.9335,-0.4981,-21.4498,0.8655,7.8756,0.732
3891,62.9694,-0.9502,-0.4842,-20.3304,1.3894,7.8755,0.7315
3892,50.5104,-0.9334,-0.4768,-16.2548,2.2161,7.8508,0.7303
3893,80.1406,-1.0041,-0.4763,-25.9583,1.171,7.9349,0.7316
3894,47.4918,-0.9224,-0.4674,-15.2551,2.1413,7.8079,0.7268
3895,67.8237,-0.9833,-0.4959,-21.9436,0.6835,8.0386,0.7222
3896,37.0587,-0.9342,-0.4847,-11.7994,3.8203,7.6847,0.7328
3897,40.4353,-0.8946,-0.5055,-12.9414,2.5007,7.7231,0.7277
3898,66.2875,-0.971,-0.4826,-21.4549,1.491,8.0052,0.7348
3899,52.1521,-0.9677,-0.4445,-16.8006,2.5442,7.9701,0.7373
3900,75.1426,-0.9838,-0.4834,-24.3725,1.3528,8.0711,0.7271
3901,51.9386,-0.9166,-0.5114,-16.7933,2.0693,8.0343,0.7306
3902,48.5776,-0.9217,-0.5192,-15.7576,1.8853,8.3045,0.7515
3903,48.0264,-0.9289,-0.4967,-15.4751,3.3619,7.8971,0.7237
3904,61.419,-0.9555,-0.4742,-19.7867,1.8031,7.753,0.7168
3905,62.2721,-0.9755,-0.4823,-20.1118,1.668,7.9412,0.7335
3906,46.1852,-0.9416,-0.4829,-14.8456,3.568,7.8354,0.7311
3907,51.4564,-0.9367,-0.4725,-16.6154,2.8895,7.9798,0.7237
3908,51.1558,-0.9416,-0.4809,-16.4745,1.8231,7.919,0.7213
3909,57.5476,-0.9962,-0.5092,-18.6091,4.5965,8.0078,0.7477
3910,60.7279,-0.9461,-0.485,-19.6658,0.3534,8.1639,0.743
3911,83.2487,-0.9815,-0.5042,-27.1164,-1.3308,8.4746,0.7468
3912,44.8346,-0.9261,-0.5105,-14.3358,2.1898,7.6775,0.7367
3913,53.4063,-0.945,-0.4817,-17.2216,1.6567,7.9501,0.7365
3914,53.7008,-0.9655,-0.49,-17.3198,2.8486,7.9389,0.7333
3915,55.1425,-0.9171,-0.499,-17.8232,1.7153,7.9746,0.72
3916,68.5037,-0.9854,-0.4874,-22.1204,2.0617,7.8028,0.7128
3917,57.9225,-0.9817,-0.4878,-18.6855,2.7812,7.9058,0.7259
3918,76.7641,-0.9864,-0.501,-24.8594,1.2481,7.928,0.7308
3919,74.4728,-0.9548,-0.5039,-24.1439,0.8444,7.9782,0.7267
3920,50.0813,-0.9525,-0.4763,-15.9995,2.1187,7.5661,0.7373
3921,70.6151,-0.9688,-0.5296,-22.9007,1.5438,8.068,0.7385
