,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
235,-6.859,-0.4811,0.7311,-1.3408,-9.0354,22.3275,0.9291
236,-6.9892,-0.4065,0.7806,-1.5121,-9.6859,22.6256,0.9153
237,-7.3376,-0.446,0.6424,-1.3752,-8.5293,22.5201,0.9206
238,-6.9364,-0.4502,0.8057,-1.4957,-8.711,22.7025,0.9183
239,-7.058,-0.4412,0.7059,-1.4041,-8.7303,22.4027,0.9132
240,-6.7851,-0.4085,0.7721,-1.4758,-9.6909,22.3136,0.9013
241,-6.9423,-0.391,0.7944,-1.5389,-10.0499,22.6191,0.9206
242,-6.9883,-0.4384,0.7856,-1.4651,-9.5892,22.6918,0.911
243,-7.0113,-0.4353,0.7752,-1.46,-9.6385,22.6769,0.9114
244,-6.8035,-0.3735,0.8731,-1.6045,-13.411,22.8975,0.9075
245,-7.0304,-0.3979,0.8144,-1.5302,-9.6831,22.7862,0.9121
246,-6.9961,-0.4395,0.7305,-1.427,-9.6064,22.4924,0.914
247,-6.9617,-0.4235,0.7388,-1.4358,-9.3468,22.4215,0.9126
248,-6.762,-0.362,0.9136,-1.6487,-14.4264,23.0354,0.9149
249,-6.9684,-0.4423,0.723,-1.4164,-9.6828,22.4221,0.911
250,-7.0565,-0.4248,0.705,-1.427,-9.4558,22.4246,0.9163
251,-6.3434,-0.3874,0.9406,-1.5952,-13.5596,22.5645,0.9138
252,-6.844,-0.4203,0.7918,-1.4779,-10.0612,22.5227,0.9067
253,-6.8036,-0.4375,0.7955,-1.4534,-9.8635,22.5038,0.9126
254,-7.0125,-0.4234,0.7366,-1.4463,-9.7689,22.5075,0.8987
255,-7.1379,-0.4411,0.7723,-1.4815,-9.4951,22.8495,0.9135
256,-6.9482,-0.4351,0.7756,-1.4561,-9.6775,22.5952,0.9145
257,-7.0583,-0.451,0.7138,-1.3973,-8.8702,22.4641,0.9145
258,-7.1739,-0.4236,0.701,-1.4331,-9.3405,22.5565,0.9174
259,-7.004,-0.4244,0.8441,-1.5295,-10.0664,22.9408,0.9122
260,-6.8101,-0.4508,0.8387,-1.4901,-9.8552,22.6954,0.9156
261,-7.2932,-0.4509,0.6988,-1.4152,-9.5425,22.7875,0.9066
262,-6.8111,-0.3384,0.9989,-1.7576,-13.8998,23.3792,0.9212
263,-7.1186,-0.4458,0.7372,-1.4354,-9.7069,22.7035,0.901
264,-6.9678,-0.4344,0.7687,-1.4561,-9.6334,22.5861,0.9142
265,-6.9304,-0.4203,0.7848,-1.4784,-9.7021,22.5732,0.9096
266,-6.7959,-0.4863,0.7761,-1.3652,-9.3683,22.4532,0.9313
267,-6.8062,-0.4551,0.85,-1.4985,-9.872,22.7497,0.9127
268,-7.0367,-0.4382,0.7182,-1.4079,-8.9761,22.4287,0.9081
269,-6.9644,-0.4269,0.7717,-1.4717,-9.6388,22.5841,0.9107
270,-6.9245,-0.4333,0.7706,-1.4498,-9.6486,22.5375,0.9138
271,-6.8692,-0.434,0.7946,-1.4725,-9.9264,22.5802,0.9161
272,-6.9405,-0.447,0.76,-1.4442,-9.415,22.5378,0.9147
273,-6.8644,-0.4579,0.8745,-1.5245,-9.9804,22.9379,0.915
274,-6.7819,-0.3708,0.9055,-1.6293,-13.8534,23.0171,0.9149
275,-6.8692,-0.446,0.7672,-1.4148,-9.5932,22.4723,0.9115
276,-7.042,-0.4514,0.8763,-1.5512,-9.7342,23.1562,0.9151
277,-6.8077,-0.4312,0.8125,-1.4865,-9.7201,22.535,0.9094
278,-7.2825,-0.4117,0.6645,-1.4297,-8.9951,22.5046,0.9201
279,-6.9514,-0.4201,0.803,-1.5094,-12.2449,22.8309,0.9099
280,-6.9397,-0.4553,0.7684,-1.4215,-9.2245,22.58,0.9151
281,-6.9545,-0.3815,0.8104,-1.5498,-12.7969,22.816,0.9138
282,-7.1394,-0.4274,0.818,-1.5228,-9.7652,23.0375,0.9125
283,-6.8222,-0.4172,0.7921,-1.4926,-9.8951,22.4703,0.9106
284,-6.8551,-0.539,0.8225,-1.3682,-7.4004,22.7929,0.9405
285,-6.8309,-0.4601,0.7482,-1.3791,-9.7052,22.3543,0.929
286,-8.4498,-0.5182,0.4744,-1.3055,-11.3243,23.7279,0.8843
287,-7.3805,-0.4361,0.6683,-1.4215,-9.1999,22.7251,0.8978
288,-7.1193,-0.4535,0.6582,-1.3484,-8.3842,22.2889,0.9149
289,-6.9022,-0.4501,0.8045,-1.4634,-9.4942,22.6741,0.9152
290,-6.7908,-0.417,0.7591,-1.4359,-9.7038,22.2801,0.9084
291,-6.7719,-0.4209,0.7899,-1.4885,-10.2292,22.4382,0.914
292,-6.9991,-0.4243,0.7417,-1.4488,-9.3916,22.4842,0.9131
293,-6.9341,-0.4252,0.7636,-1.4614,-9.6109,22.505,0.9123
294,-7.0059,-0.4462,0.7224,-1.3953,-9.2659,22.4352,0.9333
295,-7.4073,-0.4288,0.7413,-1.4837,-9.0423,23.0385,0.9179
296,-6.8137,-0.4177,0.8596,-1.5408,-10.3523,22.7706,0.9083
297,-6.6843,-0.4241,0.8893,-1.5535,-10.41,22.7155,0.9066
298,-7.6757,-0.4074,0.7381,-1.5663,-14.3854,23.6949,0.9026
299,-6.7407,-0.4924,0.7733,-1.3847,-9.0877,22.3898,0.9086
300,-6.7236,-0.3543,0.8851,-1.6218,-13.8815,22.8262,0.9123
301,-6.9159,-0.4526,0.8188,-1.4771,-9.5419,22.7541,0.9125
302,-6.8347,-0.4415,0.8287,-1.4849,-10.1193,22.7081,0.9157
303,-6.8964,-0.407,0.7777,-1.4861,-9.8581,22.4896,0.9108
304,-6.9443,-0.4355,0.7811,-1.4538,-9.6867,22.6181,0.9143
305,-6.9274,-0.4284,0.7255,-1.4204,-9.52,22.3398,0.9088
306,-6.9668,-0.434,0.8031,-1.4787,-9.762,22.7382,0.9097
307,-6.9998,-0.4289,0.7754,-1.4738,-9.5985,22.6316,0.9163
308,-6.8937,-0.4597,0.7173,-1.3693,-9.1808,22.3011,0.9092
309,-6.7694,-0.4221,0.7911,-1.4772,-10.1312,22.424,0.9116
