,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
597,-6.3891,-0.6339,0.7762,-1.5368,-2.0332,22.0936,0.9643
598,-6.3481,-0.6108,0.7725,-1.539,-2.0396,22.0272,0.9619
599,-6.3077,-0.6264,0.785,-1.5529,-2.1058,22.0363,0.9617
600,-6.2395,-0.6123,0.7677,-1.5284,-2.1273,21.8592,0.9616
601,-6.3897,-0.6047,0.8087,-1.4943,-2.5597,22.0757,0.9559
602,-6.3743,-0.6274,0.7831,-1.5427,-1.9928,22.0829,0.963
603,-6.3195,-0.6104,0.758,-1.5215,-2.002,21.9157,0.9629
604,-6.4051,-0.6143,0.7708,-1.5305,-2.0779,22.0889,0.9636
605,-6.1761,-0.6147,0.7849,-1.5495,-2.0997,21.8334,0.9632
606,-6.2932,-0.6043,0.7845,-1.5147,-2.2315,21.9223,0.9628
607,-6.2847,-0.6195,0.7771,-1.5414,-2.0924,21.9562,0.9641
608,-6.4214,-0.6056,0.7989,-1.4931,-2.4065,22.092,0.9556
609,-6.231,-0.6159,0.7838,-1.5475,-2.0981,21.906,0.963
610,-6.3711,-0.6208,0.777,-1.5451,-1.9842,22.0809,0.9617
611,-6.287,-0.6167,0.781,-1.5426,-2.1709,21.9694,0.9629
612,-6.2536,-0.6171,0.7744,-1.5449,-2.0904,21.9282,0.9632
613,-6.2322,-0.6104,0.797,-1.5518,-2.2838,21.949,0.964
614,-6.311,-0.6175,0.7816,-1.5444,-2.1328,22.0157,0.9621
615,-6.3401,-0.6057,0.7945,-1.5332,-2.1058,22.0185,0.9629
616,-6.2429,-0.6054,0.786,-1.5281,-2.1821,21.8746,0.9624
617,-6.3372,-0.6114,0.81,-1.5441,-2.4104,22.1172,0.9677
618,-6.4044,-0.6061,0.8025,-1.478,-2.4604,22.0286,0.9607
619,-6.2859,-0.6263,0.7809,-1.5494,-2.1554,22.0022,0.9629
620,-6.2632,-0.6075,0.7955,-1.5421,-2.1583,21.9449,0.961
621,-6.3159,-0.6095,0.7737,-1.5311,-2.0512,21.958,0.9633
622,-6.4243,-0.6198,0.8096,-1.5313,-2.4564,22.2257,0.9682
623,-6.409,-0.6064,0.8102,-1.5254,-2.3987,22.1692,0.9676
624,-6.3454,-0.6182,0.8047,-1.5536,-2.1965,22.1146,0.9616
625,-6.2856,-0.6115,0.7888,-1.533,-2.2126,21.9647,0.9614
626,-6.301,-0.6198,0.7903,-1.553,-2.1279,22.031,0.9619
627,-6.325,-0.6153,0.7776,-1.5437,-2.1791,22.0331,0.9629
628,-6.2282,-0.6096,0.7874,-1.5308,-2.2101,21.8729,0.9614
629,-6.2525,-0.6251,0.7787,-1.5415,-2.2059,21.9383,0.9628
630,-6.2553,-0.6158,0.7774,-1.5457,-2.1459,21.939,0.9626
631,-6.3999,-0.6286,0.7857,-1.5557,-2.1419,22.1827,0.9618
632,-6.3802,-0.6019,0.8022,-1.5041,-2.5904,22.0854,0.9562
633,-6.3727,-0.6043,0.8073,-1.4993,-2.6066,22.068,0.9574
634,-6.2044,-0.6215,0.772,-1.5455,-2.0016,21.8499,0.9642
635,-6.3719,-0.607,0.8227,-1.5185,-2.6238,22.1515,0.968
636,-6.1892,-0.6015,0.7786,-1.5114,-2.0904,21.7363,0.9599
637,-6.3011,-0.6088,0.7724,-1.5257,-2.1246,21.935,0.9635
638,-6.3604,-0.6052,0.78,-1.5198,-2.2234,22.0202,0.9632
639,-6.4204,-0.6118,0.7999,-1.52,-2.4838,22.1827,0.9692
640,-6.4061,-0.6232,0.7693,-1.5308,-2.023,22.0909,0.9636
641,-6.2541,-0.6211,0.7854,-1.5566,-2.1955,21.9799,0.9608
642,-6.4295,-0.6026,0.7698,-1.5055,-2.1441,22.062,0.9639
643,-6.3218,-0.6222,0.783,-1.5377,-2.1586,22.0174,0.9629
644,-6.1871,-0.6159,0.7844,-1.5441,-2.1152,21.8345,0.9581
645,-6.218,-0.6035,0.7781,-1.5269,-2.0994,21.8165,0.9627
646,-6.2365,-0.6113,0.7754,-1.5408,-2.0643,21.8817,0.9632
647,-6.1995,-0.6089,0.778,-1.5118,-2.313,21.7929,0.964
