Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs),Unnamed: 18,Unnamed: 19
n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,19.4,,Stanford,5.0,±5,OH,1087,±1,403,,
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.72,1.13,CCCCCCCCCCCC,1.28,430.0,Speceis,21.0,5.21,±9.3,Stanford,15.3,,CH,943,±1,3804,,
n_Dodecane_Nano,N2,99.2055,1.0,CCCCCCCCCCCC,0.0445,430.0,Speceis,0.75,2.25,,Stanford,15.3,,CH,1330,,1592,,
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1.0,CCCCCCC,0.4,431.0,Species,4.4,4.11,,Stanford,15.3,±5,CH,1463,±1,103,,
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,N2,78.3115,0.61,CCCCCCCCCCCC,0.6885,430.0,Speceis,21.0,8.5,±9.3,Stanford,15.3,,CH,1114,±1,640,,
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.4345,0.5,CCCCCCCCCCCC,0.5655,430.0,Speceis,21.0,6.32,±9.3,Stanford,15.3,,CH,1086,±1,1422,,
blend_surrogate_fuels,N2,77.52600000000001,1.0,CCCCCCC,1.874,306.7,Species,20.6,18.13,,Stanford,5.0,,OH,1012,±1.8,944,,
blend_surrogate_fuels,N2,77.52600000000001,1.0,CCCCCCC,1.874,306.7,Species,20.6,16.72,,Stanford,5.0,,OH,1048,±1.8,854,,
n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1108,,1339,,
C1_C4_Alkanes,Ar,92.86,1.0,CCCC,0.95,430.0,Speceis,6.19,1.23,,Xi’an_Jiaotong,11.5,±2.36,CH,1276,±3,1432,,
n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1141,,680,,
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,96.7,1.0,CCCCCCCCCC,0.2,431.0,Species,3.1,1.23,,Stanford,15.3,±5,CH,1434, ±1.5,320,,
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,85.6,1.0,CCCCCCC,1.2,431.0,Species,13.2,1.3,,Stanford,15.3,±5,CH,1335,±1,466,,
n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,21.0,,Stanford,5.0,±5,OH,942,±1,1116,,
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,96.25,1.0,CCCC,0.5,431.0,Speceis,3.25,1.17,±1,Stanford,15.3,±5,CH,1561,±1,131,,
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1.0,CCCCCCC,0.4,431.0,Species,4.4,2.13,,Stanford,15.3,±5,CH,1455,±1,165,,
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.411,0.52,CCCCCCCCCCCC,0.589,430.0,Speceis,21.0,6.4,±9.3,Stanford,15.3,,CH,1191,±1,550,,
n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306.0,Species,20.89,20.1,,Stanford,5.0,±5,OH,1054,±1,788,,
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.711,1.14,CCCCCCCCCCCC,1.2890000000000001,430.0,Speceis,21.0,5.82,±9.3,Stanford,15.3,,CH,964,±1,1175,,
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,95.75,2.0,CCCC,1.0,431.0,Speceis,3.25,1.03,±1,Stanford,15.3,±5,CH,1666,±1,177,,
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1.0,CCCC,1.0,431.0,Speceis,6.5,2.0,±1,Stanford,15.3,±5,CH,1454,±1,170,,
